name,id,top_category,rating,review_count,postal_code
Pio Pio 7,pio-pio-7-new-york-5,latin,4,652,10016
,,,,,
Xi'an Famous Foods,xian-famous-foods-new-york-14,chinese,4,295,10016
,,,,,
Sons of Thunder,sons-of-thunder-new-york-4,hawaiian,4.5,402,10016
,,,,,
Chicken Provence,chicken-provence-new-york,french,4.5,193,10016
,,,,,
Momosan Ramen & Sake,momosan-ramen-and-sake-new-york-2,ramen,4,483,10016
,,,,,
Her Name Is Han,her-name-is-han-new-york-3,korean,4,431,10016
,,,,,
EONS Greek Food for Life,eons-greek-food-for-life-new-york,greek,4.5,180,10016
,,,,,
Cup & Cup,cup-and-cup-new-york,coffee,4,240,10016
,,,,,
Fork & Spoon,fork-and-spoon-new-york,delis,4,122,10001
,,,,,
Turntable Chicken Jazz ,turntable-chicken-jazz-new-york-2,chicken_wings,4,1296,10001
,,,,,
Num Pang Sandwich Shop,num-pang-sandwich-shop-new-york,cambodian,4,1006,10017
,,,,,
@ The Spot,the-spot-new-york-13,vietnamese,4,78,10016
,,,,,
DADAM,dadam-new-york,korean,4.5,115,10001
,,,,,
Café Zaiya,café-zaiya-new-york-4,japanese,4,887,10017
,,,,,
Woorijip Authentic Korean Food,woorijip-authentic-korean-food-new-york,korean,4,2091,10001
,,,,,
Trademark Taste & Grind,trademark-taste-and-grind-new-york,bars,4.5,99,10018
,,,,,
Izakaya MEW,izakaya-mew-new-york-3,sushi,4,1160,10001
,,,,,
Shorty's,shortys-new-york-2,cheesesteaks,4,298,10016
,,,,,
KaoruMC,kaorumc-new-york,japanese,4.5,43,10017
,,,,,
DiSO's Italian Sandwich Society,disos-italian-sandwich-society-new-york-2,foodtrucks,4.5,85,10017
,,,,,
Elite Food Bar,elite-food-bar-new-york,sandwiches,4,56,10017
,,,,,
Pickler & Co,pickler-and-co-new-york,delis,4.5,134,10017
,,,,,
Nishida Sho-ten,nishida-sho-ten-new-york-2,ramen,4,328,10017
,,,,,
Ground Central,ground-central-new-york-3,cafes,4.5,62,10017
,,,,,
Luke's Lobster,lukes-lobster-new-york-10,seafood,4,215,10017
,,,,,
NY Express Biryani,ny-express-biryani-new-york,foodstands,5,10,10017
,,,,,
BentOn Cafe,benton-cafe-new-york,japanese,4,108,10017
,,,,,
Udon West,udon-west-new-york-3,japanese,4,615,10017
,,,,,
Naya Express,naya-express-new-york,mediterranean,4,281,10017
,,,,,
Yogi Korean BBQ Tacos,yogi-korean-bbq-tacos-new-york-2,streetvendors,4.5,95,10017
,,,,,
Tacos Grand Central,tacos-grand-central-new-york,mexican,4,130,10017
,,,,,
Foxy Johns Bar & Kitchen,foxy-johns-bar-and-kitchen-new-york,bars,4.5,111,10017
,,,,,
The Smith,the-smith-new-york-2,tradamerican,4,1326,10022
,,,,,
The Picnic Basket,the-picnic-basket-new-york-2,cafes,4.5,79,10022
,,,,,
Roti Modern Mediterranean,roti-modern-mediterranean-new-york-2,mediterranean,4,115,10017
,,,,,
Sukhumvit 51,sukhumvit-51-new-york,thai,4,415,10022
,,,,,
BXL East,bxl-east-new-york,belgian,4,338,10022
,,,,,
Ess-a-Bagel,ess-a-bagel-new-york,bakeries,4,2098,10022
,,,,,
Bea,bea-new-york,newamerican,4,988,10036
,,,,,
Shake Shack,shake-shack-new-york-9,burgers,4,2607,10036
,,,,,
Carmine's Theater District,carmines-theater-district-new-york,italian,4,2234,10036
,,,,,
OBAO,obao-new-york-3,vietnamese,4,1035,10036
,,,,,
Crisp,crisp-new-york-2,mediterranean,4,284,10018
,,,,,
Dim Sum Palace,dim-sum-palace-new-york-2,dimsum,4.5,155,10036
,,,,,
Junior's Restaurant,juniors-restaurant-new-york-6,diners,4,2511,10036
,,,,,
Lali Restaurant,lali-restaurant-new-york,dominican,4.5,138,10036
,,,,,
Pokéworks,pokéworks-new-york-2,hawaiian,4,1195,10018
,,,,,
Il Baretto,il-baretto-new-york,italian,4,111,10019
,,,,,
Rex,rex-new-york-2,coffee,4.5,333,10019
,,,,,
American Retro,american-retro-new-york,newamerican,4,176,10019
,,,,,
Zoralie Restaurant,zoralie-restaurant-new-york,dominican,4.5,113,10019
,,,,,
Puff Cha Ramen,puff-cha-ramen-new-york,thai,4,382,10019
,,,,,
Brickyard Gastropub,brickyard-gastropub-new-york,gastropubs,4,546,10019
,,,,,
Noodies,noodies-new-york,thai,4,348,10019
,,,,,
The Burrito Box,the-burrito-box-new-york,mexican,4,663,10019
,,,,,
Kashkaval Garden,kashkaval-garden-new-york,mediterranean,4,340,10019
,,,,,
Mooncake Foods,mooncake-foods-new-york-5,asianfusion,3.5,189,10019
,,,,,
Lunch Box,lunch-box-new-york,sandwiches,4,100,10019
,,,,,
Havana Social,havana-social-new-york-2,cuban,4,358,10019
,,,,,
Pure Thai Cookhouse,pure-thai-cookhouse-new-york,thai,4,1785,10019
,,,,,
Totto Ramen,totto-ramen-new-york,ramen,4,4061,10019
,,,,,
Ñaño Ecuadorian Kitchen,ñaño-ecuadorian-kitchen-new-york,latin,4.5,270,10036
,,,,,
Wafels & Dinges,wafels-and-dinges-new-york-4,foodstands,4.5,166,
,,,,,
Istanbul Kebab House,istanbul-kebab-house-new-york,turkish,4,323,10019
,,,,,
Ippudo Westside,ippudo-westside-new-york,ramen,4,2255,10019
,,,,,
The Bolivian Llama Party,the-bolivian-llama-party-manhattan,foodstands,4.5,110,10019
,,,,,
Bouchon Bakery & Cafe,bouchon-bakery-and-cafe-new-york-2,bakeries,4,1175,10019
,,,,,
Melt Shop,melt-shop-new-york-3,newamerican,4,281,10020
,,,,,
Sake Bar Hagi,sake-bar-hagi-new-york,japanese,4,1448,10019
,,,,,
Toasties,toasties-new-york-6,sandwiches,4,222,10019
,,,,,
Steak Freak,steak-freak-new-york,foodtrucks,4.5,40,10019
,,,,,
Num Pang Sandwich Shop,num-pang-sandwich-shop-new-york-5,cambodian,4,346,10036
,,,,,
Galbi Q,galbi-q-new-york,streetvendors,4.5,19,
,,,,,
Tri Tip Grill,tri-tip-grill-new-york,sandwiches,4,271,10112
,,,,,
The Halal Guys,the-halal-guys-new-york-2,foodstands,4.5,8312,10019
,,,,,
Margon,margon-new-york,cuban,4,545,10036
,,,,,
Nippori,nippori-new-york,tapasmallplates,4,436,10019
,,,,,
Patzeria Perfect Pizza,patzeria-perfect-pizza-new-york,pizza,4,1053,10036
,,,,,
Times Square Diner,times-square-diner-new-york-4,tradamerican,4,324,10019
,,,,,
